Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
9,Derrick Rose,2010-11,22,CHI,NBA,23.5,81,81,3026,0.241,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,113,103,8.3,4.8,13.1,0.208,5.8,0.1,5.9,6
10,Dirk Nowitzki,2010-11,32,DAL,NBA,23.4,73,73,2504,0.142,0.376,2.4,20.8,12,14.2,0.8,1.4,9.1,28.2,118,105,7.8,3.3,11.1,0.213,3.2,0.6,3.8,3.7
11,Pau Gasol,2010-11,30,LAL,NBA,23.3,82,82,3037,0.003,0.384,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,123,103,10,4.7,14.7,0.232,3,2.2,5.3,5.6
12,Amar'e Stoudemire,2010-11,28,NYK,NBA,22.7,78,78,2870,0.016,0.403,7.8,17.6,12.7,13.2,1.2,3.8,12.5,30.9,109,108,5.4,2.6,8,0.134,0.8,-0.1,0.7,1.9
13,Zach Randolph,2010-11,29,MEM,NBA,22.6,75,74,2724,0.036,0.333,14.2,26,20.1,10.2,1.2,0.7,10,25,115,105,6.8,3.7,10.5,0.185,2.6,-0.1,2.5,3.1
14,Tim Duncan,2010-11,34,SAS,NBA,21.9,76,76,2156,0.005,0.307,9.3,26.8,18.3,15.7,1.2,4.8,11.4,22.9,111,100,3.7,4,7.7,0.171,-0.1,3.9,3.8,3.2
15,Blake Griffin,2010-11,21,LAC,NBA,21.9,82,82,3112,0.017,0.505,10.2,26.9,18.6,18.7,1,1.1,11.7,27.3,111,107,6.5,3.4,9.8,0.152,2.2,0.9,3.2,4
16,Carmelo Anthony,2010-11,26,TOT,NBA,21.7,77,77,2751,0.167,0.403,5,18.3,11.8,14.7,1.2,1.3,10.4,32,109,108,5.4,2.5,7.9,0.138,1.8,-1.3,0.5,1.8
17,Manu Ginobili,2010-11,33,SAS,NBA,21.7,80,79,2426,0.433,0.403,2.1,11.8,7.1,26.4,2.6,0.8,12.7,26,116,105,6.6,3.2,9.9,0.195,4.9,0.4,5.3,4.5
18,LaMarcus Aldridge,2010-11,25,POR,NBA,21.5,81,81,3211,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,114,107,7.6,3.5,11.1,0.166,1.9,0.5,2.4,3.5
19,Kevin Martin,2010-11,27,HOU,NBA,21.4,80,80,2603,0.362,0.528,1.2,10,5.6,13,1.6,0.4,10.5,29.6,117,111,8,1.5,9.5,0.175,4.4,-2.8,1.6,2.3
20,Deron Williams,2010-11,26,TOT,NBA,21.1,65,65,2465,0.325,0.423,1.9,10.9,6.3,45.9,1.7,0.5,16.6,25.8,114,112,6.2,1.1,7.3,0.142,5.2,-2.4,2.8,3
1,LeBron James,2011-12,27,MIA,NBA,30.7,62,62,2326,0.127,0.429,5,19.7,12.6,33.6,2.6,1.7,13.3,32,118,97,10,4.5,14.5,0.298,8.3,2.7,11,7.6
2,Chris Paul,2011-12,26,LAC,NBA,27,60,60,2181,0.239,0.339,2.3,9.4,5.8,43.8,3.8,0.2,10.8,24.3,126,104,10.4,2.3,12.7,0.278,8,-0.1,7.9,5.4
3,Dwyane Wade,2011-12,30,MIA,NBA,26.3,49,49,1625,0.067,0.355,5.6,11.6,8.7,27.3,2.7,3.1,11.8,31.3,112,99,4.8,2.9,7.7,0.227,4.5,1.8,6.3,3.4
4,Kevin Durant,2011-12,23,OKC,NBA,26.2,66,66,2546,0.265,0.386,1.9,20.4,11.8,17.5,1.8,2.2,14,31.3,114,101,8.5,3.7,12.2,0.23,4.7,0.5,5.2,4.6
5,Kevin Love,2011-12,23,MIN,NBA,25.4,55,55,2145,0.266,0.434,11.6,26.4,19,10,1.1,0.9,9.2,28.8,117,104,7.6,2.3,10,0.223,5.1,-0.6,4.5,3.5
6,Dwight Howard,2011-12,26,ORL,NBA,24.2,54,54,2070,0.01,0.788,11,33.1,21.9,9.8,2.1,4.4,15.2,26.1,106,96,3.3,4.4,7.7,0.179,0.1,3.7,3.8,3
7,Blake Griffin,2011-12,22,LAC,NBA,23.4,66,66,2392,0.016,0.458,10.7,25.1,17.8,16.6,1.2,1.7,10.9,26.6,113,104,6.6,2.6,9.2,0.185,3.1,1.1,4.1,3.7
8,Andrew Bynum,2011-12,24,LAL,NBA,22.9,60,60,2112,0.006,0.425,10.6,26.1,18.7,7.4,0.7,4,13.9,23.8,112,100,4.8,3.3,8,0.183,0.7,1.2,1.8,2
9,Russell Westbrook,2011-12,23,OKC,NBA,22.9,66,66,2331,0.155,0.326,5,9.4,7.4,29.8,2.5,0.7,14.2,32.7,108,105,5.5,2.4,7.9,0.163,3.7,-0.5,3.2,3
10,Al Jefferson,2011-12,27,UTA,NBA,22.8,61,61,2075,0.004,0.169,7.3,25.3,16.2,12.1,1.2,3.9,5.2,25.7,112,103,4.9,2.5,7.5,0.173,1.7,1.3,3,2.6
11,LaMarcus Aldridge,2011-12,26,POR,NBA,22.7,55,55,1994,0.012,0.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27,113,106,5.4,1.6,7,0.169,2.7,-0.2,2.4,2.2
12,Tim Duncan,2011-12,35,SAS,NBA,22.5,58,58,1634,0.005,0.34,7.9,28.2,18.3,13.5,1.2,3.9,10.3,26.2,108,99,3,2.9,5.9,0.174,-0.2,2.6,2.4,1.8
13,Greg Monroe,2011-12,21,DET,NBA,22,66,66,2082,0.001,0.348,13.3,23.6,18.3,14,2.1,1.7,15.2,23.6,110,102,4.3,2.7,7,0.161,2.4,1.4,3.8,3.1
14,Tony Parker,2011-12,29,SAS,NBA,22,60,60,1923,0.069,0.319,1.3,8.7,5.1,40.3,1.5,0.2,13.1,27.7,112,106,5.5,1.6,7.1,0.177,3.2,-1.5,1.7,1.8
15,Kobe Bryant,2011-12,33,LAL,NBA,21.9,58,58,2232,0.215,0.338,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,105,106,4.2,2,6.2,0.132,3.6,-1.4,2.3,2.4
16,Paul Millsap,2011-12,26,UTA,NBA,21.8,64,62,2100,0.036,0.296,9.7,21.2,15.4,12.4,2.9,2,10.3,23.2,113,102,4.9,2.9,7.8,0.179,2.9,2.1,5,3.7
17,DeMarcus Cousins,2011-12,21,SAC,NBA,21.7,64,62,1950,0.014,0.373,14.2,25.9,19.8,9.5,2.4,2.8,12.8,29.7,102,104,2.1,2.2,4.2,0.104,-0.4,0,-0.3,0.8
18,Dirk Nowitzki,2011-12,33,DAL,NBA,21.7,62,62,2079,0.205,0.343,2.5,19.9,11.3,12.6,1.1,1.2,9,29.2,110,103,5,2.6,7.6,0.175,2.3,-0.5,1.8,2
19,Ryan Anderson,2011-12,23,ORL,NBA,21.2,61,61,1964,0.557,0.226,13,14.7,13.8,5.1,1.4,1,6.4,21.2,124,105,7,1.9,8.9,0.219,5.9,-1.3,4.6,3.3
20,Marcin Gortat,2011-12,27,PHO,NBA,21.2,66,66,2114,0.003,0.326,10,25,17.6,4.8,1.2,3.4,9.3,20.8,115,103,4.9,2.7,7.6,0.172,0.8,1.2,2,2.1
1,LeBron James,2012-13,28,MIA,NBA,31.6,76,76,2877,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,125,101,14.6,4.7,19.3,0.322,9.2,2.4,11.6,9.8
2,Kevin Durant,2012-13,24,OKC,NBA,28.3,81,81,3119,0.233,0.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,122,100,13.6,5.3,18.9,0.291,6.2,1.4,7.7,7.6
3,Chris Paul,2012-13,27,LAC,NBA,26.4,70,70,2335,0.271,0.377,2.8,10.5,6.7,46.5,3.8,0.4,13.7,22.6,127,102,10.6,3.4,13.9,0.287,7.2,0.3,7.5,5.6
4,Carmelo Anthony,2012-13,28,NYK,NBA,24.8,67,67,2482,0.278,0.344,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,112,108,7.5,2,9.5,0.184,4.7,-2.3,2.4,2.8
5,Brook Lopez,2012-13,24,BRK,NBA,24.7,74,74,2253,0.001,0.358,10.8,16.1,13.4,6.4,0.8,5.2,9.4,28.6,114,105,6.4,2.6,9,0.191,1.4,0,1.4,1.9
6,Tim Duncan,2012-13,36,SAS,NBA,24.4,69,69,2078,0.007,0.307,7.3,29.6,19.1,15.5,1.2,6.4,11.7,27.8,107,95,3.4,4.9,8.3,0.191,-0.5,4.6,4.1,3.2
7,Dwyane Wade,2012-13,31,MIA,NBA,24,69,69,2391,0.06,0.389,4.7,12.6,8.9,26.6,2.8,1.9,13.2,29.5,112,103,6.1,3.5,9.6,0.192,2.8,1.1,3.9,3.5
8,Russell Westbrook,2012-13,24,OKC,NBA,23.9,82,82,2861,0.195,0.375,4.8,11.8,8.6,38.4,2.6,0.6,13.2,32.8,111,103,7.7,3.9,11.6,0.195,4.7,0.3,5,5.1
9,Kobe Bryant,2012-13,34,LAL,NBA,23,78,78,3013,0.255,0.392,2.5,13.1,7.9,29.7,1.8,0.6,13.3,31.9,112,107,8.4,2.6,10.9,0.174,5.2,-0.5,4.7,5.1
10,James Harden,2012-13,23,HOU,NBA,23,78,78,2985,0.364,0.592,2.4,11.9,7.2,25.7,2.4,1,14.9,29,116,106,9.8,3,12.8,0.206,5.4,0.1,5.5,5.7
11,Tony Parker,2012-13,30,SAS,NBA,23,66,66,2174,0.068,0.332,1,9.1,5.3,40.4,1.3,0.2,13,27.7,116,106,7.1,2.3,9.3,0.206,4.1,-1.4,2.7,2.6
12,Blake Griffin,2012-13,23,LAC,NBA,22.4,80,80,2598,0.026,0.397,8.7,21.5,15.2,19.9,2,1.6,12.8,25.4,114,102,6.8,3.9,10.6,0.196,2.9,1.9,4.8,4.5
13,Andray Blatche,2012-13,26,BRK,NBA,21.9,82,8,1555,0.033,0.32,12.2,19.6,15.8,10.5,3,2.7,13.8,26.5,107,101,2.4,2.5,4.9,0.153,0.7,1.6,2.3,1.7
