Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
20,Al Horford,2014-15,28,ATL,NBA,21.4,76,76,2318,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,114,102,5.1,3.6,8.7,0.179,1.3,2.5,3.8,3.4
1,Stephen Curry,2015-16,27,GSW,NBA,31.5,79,79,2700,0.554,0.25,2.9,13.6,8.6,33.7,3,0.4,12.9,32.6,125,103,13.8,4.1,17.9,0.318,12.4,0.1,12.5,9.8
2,Kevin Durant,2015-16,27,OKC,NBA,28.2,72,72,2578,0.348,0.361,2,21.8,12.4,24.2,1.3,2.5,13.5,30.6,122,104,11,3.5,14.5,0.27,7,0.9,7.9,6.4
3,Russell Westbrook,2015-16,27,OKC,NBA,27.6,80,80,2750,0.236,0.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,115,103,10,4,14,0.245,7.6,2.4,10,8.3
4,LeBron James,2015-16,31,CLE,NBA,27.5,76,76,2709,0.199,0.347,4.7,18.8,11.8,36,2,1.5,13.2,31.4,116,103,9.6,4,13.6,0.242,6.9,2.3,9.1,7.6
5,Chris Paul,2015-16,30,LAC,NBA,26.2,74,74,2420,0.295,0.294,1.8,12,7,52.7,3.1,0.4,13.4,27.1,119,103,9.2,3.5,12.7,0.253,7.3,0.5,7.8,6
6,Kawhi Leonard,2015-16,24,SAS,NBA,26,72,72,2380,0.267,0.306,4.7,18.4,11.8,13,2.8,2.3,7.8,25.8,121,96,8.3,5.5,13.7,0.277,5.5,2.8,8.3,6.2
7,Hassan Whiteside,2015-16,26,MIA,NBA,25.7,73,43,2125,0,0.482,13.1,32.4,23.1,2.4,1.1,9.7,14.2,20.7,117,95,5,5.3,10.3,0.233,-0.9,3.4,2.5,2.4
8,James Harden,2015-16,26,HOU,NBA,25.3,82,82,3125,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,115,108,10.7,2.6,13.3,0.204,7.1,-0.4,6.7,6.9
9,Anthony Davis,2015-16,22,NOP,NBA,25,61,61,2164,0.095,0.379,6.4,26.4,16.1,10,1.8,4.7,8.4,29.6,110,104,4.4,2.8,7.2,0.16,1,1.2,2.2,2.3
10,Enes Kanter,2015-16,23,OKC,NBA,24,82,1,1721,0.029,0.349,16.7,24.9,21,3.1,0.7,1.5,12.2,23.4,123,105,6,2.1,8.1,0.226,1.3,-3.1,-1.7,0.1
11,DeMarcus Cousins,2015-16,25,SAC,NBA,23.6,65,65,2246,0.158,0.498,7.7,28.2,18,17,2.2,3.3,13.3,35.4,103,103,2.4,3.3,5.7,0.122,1,1.6,2.6,2.6
12,Jonas Valanciunas,2015-16,23,TOR,NBA,22.6,60,59,1557,0,0.397,13.8,26.3,20.1,4.8,0.8,4.2,11.9,20.9,120,102,4.5,2.4,6.9,0.211,0.7,0.4,1.1,1.2
13,Karl-Anthony Towns,2015-16,20,MIN,NBA,22.5,82,82,2627,0.076,0.239,10.3,27.5,19,11.3,1.1,4.3,12.6,24.9,112,106,5.5,2.8,8.3,0.151,1.6,1.2,2.8,3.1
14,LaMarcus Aldridge,2015-16,30,SAS,NBA,22.4,74,74,2261,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,114,99,5.6,4.5,10.1,0.215,0.7,1.1,1.8,2.2
15,Damian Lillard,2015-16,25,POR,NBA,22.2,75,75,2676,0.414,0.315,1.8,10.4,6.1,33.6,1.2,0.8,12.6,31.3,113,110,7.7,1.4,9.2,0.165,5.9,-2.2,3.7,3.8
16,Kyle Lowry,2015-16,29,TOR,NBA,22.2,77,77,2851,0.457,0.41,2.2,12.3,7.3,29.9,2.9,1,13.7,26.1,115,104,8,3.7,11.6,0.196,6.2,0.6,6.8,6.3
17,Greg Monroe,2015-16,25,MIL,NBA,21.8,79,67,2314,0.001,0.327,10.9,23.4,17.2,13.2,1.6,2.5,10.7,23.5,113,106,5,2.4,7.5,0.155,1.3,0.2,1.5,2.1
18,Pau Gasol,2015-16,35,CHI,NBA,21.7,72,72,2291,0.069,0.29,7.3,28.7,18.2,21.7,0.9,4.7,12.8,24.6,107,101,3.2,3.9,7.1,0.149,0.5,3.5,4,3.5
19,Brook Lopez,2015-16,27,BRK,NBA,21.7,73,73,2457,0.012,0.348,9.2,17.2,13.1,10.8,1.2,4.1,11.6,27.3,109,109,4.5,1.7,6.2,0.121,1.1,0.2,1.3,2.1
20,Derrick Favors,2015-16,24,UTA,NBA,21.6,62,59,1983,0.005,0.313,10,19.6,14.8,8.9,2,3.9,10.1,23.9,111,101,3.8,3.4,7.1,0.173,0.4,2.3,2.7,2.3
1,Russell Westbrook,2016-17,28,OKC,NBA,30.6,81,81,2802,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,112,104,8.5,4.6,13.1,0.224,10.9,4.7,15.6,12.4
2,Kevin Durant,2016-17,28,GSW,NBA,27.6,62,62,2070,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,125,101,8,4,12,0.278,5.4,2.6,8,5.2
3,Kawhi Leonard,2016-17,25,SAS,NBA,27.6,74,74,2474,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,121,102,8.9,4.7,13.6,0.264,6.4,1.5,7.9,6.2
4,Anthony Davis,2016-17,23,NOP,NBA,27.5,75,75,2708,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,112,102,5.9,5.1,11,0.195,1.4,2.3,3.7,3.9
5,James Harden,2016-17,27,HOU,NBA,27.4,81,81,2947,0.493,0.575,3.5,20.9,12.2,50.7,2,1,19.5,34.2,118,107,11.5,3.6,15,0.245,8.7,1.5,10.1,9
6,LeBron James,2016-17,32,CLE,NBA,27,74,74,2794,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,119,108,9.8,3,12.9,0.221,6.8,1.6,8.4,7.3
7,Isaiah Thomas,2016-17,27,BOS,NBA,26.5,76,76,2569,0.439,0.441,1.9,7,4.4,32.5,1.4,0.4,10.7,34,122,112,10.9,1.6,12.5,0.234,8.7,-3.3,5.4,4.8
8,Nikola Jokic,2016-17,21,DEN,NBA,26.3,73,59,2038,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,126,109,7.7,2,9.7,0.228,6.2,2.2,8.4,5.3
9,Chris Paul,2016-17,31,LAC,NBA,26.2,61,61,1921,0.385,0.331,2.4,15,8.9,46.8,3.1,0.3,14,24.4,126,106,7.9,2.6,10.6,0.264,7.8,1.1,8.8,5.3
10,Giannis Antetokounmpo,2016-17,22,MIL,NBA,26.1,80,80,2845,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,116,104,7.9,4.5,12.4,0.21,4.1,3.5,7.6,6.9
11,Karl-Anthony Towns,2016-17,21,MIN,NBA,25.9,82,82,3030,0.186,0.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,121,110,9.9,2.8,12.7,0.201,4.7,0.2,4.9,5.3
12,DeMarcus Cousins,2016-17,26,TOT,NBA,25.8,72,72,2465,0.253,0.468,7,29.2,18.2,25.8,2,3.4,13.5,36.5,107,105,3.9,3.8,7.6,0.149,3.9,2.6,6.6,5.3
13,JaVale McGee,2016-17,29,GSW,NBA,25.2,77,10,739,0.009,0.348,15.9,20.1,18.1,3.8,1.2,7.1,9.8,23.8,120,101,2,1.5,3.5,0.225,0.2,0.5,0.8,0.5
14,Jimmy Butler,2016-17,27,CHI,NBA,25.1,76,75,2809,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,123,106,10.1,3.8,13.8,0.236,5.8,1.1,6.9,6.3
15,Stephen Curry,2016-17,28,GSW,NBA,24.6,79,79,2638,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13,30.1,119,105,8.7,3.9,12.6,0.229,7.8,-0.4,7.3,6.2
16,Damian Lillard,2016-17,26,POR,NBA,24.1,75,75,2694,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,118,113,8.8,1.5,10.4,0.185,6.4,-2,4.3,4.3
17,DeMar DeRozan,2016-17,27,TOR,NBA,24,74,74,2620,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,113,110,6.7,2.4,9,0.166,2.4,-1.5,0.9,1.9
18,Enes Kanter,2016-17,24,OKC,NBA,23.7,72,0,1533,0.052,0.387,14.1,20.8,17.4,7.9,1,2,12.5,27.3,116,107,4,1.8,5.8,0.183,0.6,-1.9,-1.2,0.3
19,Rudy Gobert,2016-17,24,UTA,NBA,23.3,81,81,2744,0.002,0.762,13.6,29.5,21.8,5.7,0.9,6.4,15,16.7,129,99,8.3,6,14.3,0.25,1.4,4.5,5.8,5.4
20,Mike Conley,2016-17,29,MEM,NBA,23.2,69,68,2292,0.415,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,121,108,7.5,2.5,10,0.209,6.5,-0.8,5.7,4.5
1,James Harden,2017-18,28,HOU,NBA,29.8,72,72,2551,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,120,105,11.6,3.8,15.4,0.289,9.6,1.3,10.9,8.3
2,Anthony Davis,2017-18,24,NOP,NBA,28.9,75,75,2727,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,119,102,8.8,4.9,13.7,0.241,2.8,2.3,5.2,4.9
3,LeBron James,2017-18,33,CLE,NBA,28.6,82,82,3026,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2,16.1,31.6,118,109,11,3,14,0.221,7.6,2,9.6,8.9
4,Giannis Antetokounmpo,2017-18,23,MIL,NBA,27.3,75,75,2756,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,116,106,8.3,3.6,11.9,0.207,3.9,1.9,5.8,5.4
5,Kevin Durant,2017-18,29,GSW,NBA,26,68,68,2325,0.338,0.331,1.6,19.5,11.2,25.5,1,4,12.9,30.4,119,107,7.5,2.9,10.4,0.215,5,0.7,5.6,4.5
6,Damian Lillard,2017-18,27,POR,NBA,25.2,73,73,2670,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,120,109,9.9,2.7,12.6,0.227,7.7,-1,6.7,5.9
7,LaMarcus Aldridge,2017-18,32,SAS,NBA,25,75,75,2509,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,118,105,7.4,3.5,10.9,0.209,3,0.3,3.3,3.3
8,Kyrie Irving,2017-18,25,BOS,NBA,25,60,60,1931,0.374,0.24,1.9,10.8,6.4,30.7,1.7,0.7,10.4,31,118,106,6.3,2.7,8.9,0.222,6.9,-0.7,6.2,4
9,Karl-Anthony Towns,2017-18,22,MIN,NBA,24.9,82,82,2918,0.243,0.343,9.3,30.9,20,10.8,1.1,3.5,10.5,22.9,127,107,10.6,3.4,14,0.23,4.4,1.1,5.5,5.5
10,Montrezl Harrell,2017-18,24,LAC,NBA,24.7,76,3,1293,0.013,0.405,8.9,17,13,10.1,1.4,3.4,9.5,23.8,124,109,4.3,1.3,5.5,0.205,2.4,0,2.4,1.5
11,Russell Westbrook,2017-18,29,OKC,NBA,24.7,80,80,2914,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,109,104,5.5,4.5,10.1,0.166,5.1,3.1,8.2,7.5
12,Clint Capela,2017-18,23,HOU,NBA,24.5,74,74,2034,0.001,0.38,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,126,101,6.2,4.1,10.2,0.242,0.1,2.9,3,2.6
13,Nikola Jokic,2017-18,22,DEN,NBA,24.4,75,73,2443,0.277,0.31,9,27.9,18.5,29.6,1.8,2.1,15.5,24.2,121,107,7.8,2.9,10.7,0.211,4.8,2.3,7.1,5.6
14,Chris Paul,2017-18,32,HOU,NBA,24.4,58,58,1847,0.475,0.277,2.3,16.7,9.5,40.9,2.6,0.6,12.5,24.5,126,105,7.5,2.7,10.2,0.265,6.2,0.9,7.1,4.3
15,Enes Kanter,2017-18,25,NYK,NBA,24,71,71,1830,0.003,0.258,16.6,30.6,23.6,9.4,1,1.7,13.3,21.8,122,108,5.5,2.1,7.6,0.198,2.4,0.1,2.5,2.1
16,Jimmy Butler,2017-18,28,MIN,NBA,23.7,59,59,2164,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1,8.9,24.9,122,110,7.1,1.8,8.9,0.198,4.9,0.1,5,3.8
17,Victor Oladipo,2017-18,25,IND,NBA,23.1,75,75,2552,0.323,0.274,2.1,15.1,8.6,21.2,3.5,2,12.7,30.1,110,104,4.3,4,8.3,0.155,3.6,1.3,4.9,4.5
18,Andre Drummond,2017-18,24,DET,NBA,22.9,78,78,2625,0.012,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,113,99,4.6,5.7,10.3,0.189,0.2,5.3,5.5,5
19,Joel Embiid,2017-18,23,PHI,NBA,22.9,63,63,1912,0.203,0.442,8.4,29.7,19.4,18,1,4.8,15.6,33.4,106,100,2.3,3.8,6.2,0.155,0.1,2.5,2.6,2.2
20,Jonas Valanciunas,2017-18,25,TOR,NBA,22.5,77,77,1727,0.108,0.307,12.1,30.3,21.4,7.5,0.8,3.2,12.9,22.7,120,103,4.6,3,7.6,0.21,0.7,0.8,1.5,1.5
