Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Russell Westbrook,2017,28,OKC,NBA,30.6,81,81,2802,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,112,104,8.5,4.6,13.1,0.224,10.9,4.7,15.6,12.4
2,Kevin Durant,2017,28,GSW,NBA,27.6,62,62,2070,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,125,101,8,4,12,0.278,5.4,2.6,8,5.2
3,Kawhi Leonard,2017,25,SAS,NBA,27.6,74,74,2474,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,121,102,8.9,4.7,13.6,0.264,6.4,1.5,7.9,6.2
4,Anthony Davis,2017,23,NOP,NBA,27.5,75,75,2708,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,112,102,5.9,5.1,11,0.195,1.4,2.3,3.7,3.9
5,James Harden,2017,27,HOU,NBA,27.4,81,81,2947,0.493,0.575,3.5,20.9,12.2,50.7,2,1,19.5,34.2,118,107,11.5,3.6,15,0.245,8.7,1.5,10.1,9
6,LeBron James,2017,32,CLE,NBA,27,74,74,2794,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,119,108,9.8,3,12.9,0.221,6.8,1.6,8.4,7.3
7,Isaiah Thomas,2017,27,BOS,NBA,26.5,76,76,2569,0.439,0.441,1.9,7,4.4,32.5,1.4,0.4,10.7,34,122,112,10.9,1.6,12.5,0.234,8.7,-3.3,5.4,4.8
8,Nikola Jokic,2017,21,DEN,NBA,26.3,73,59,2038,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,126,109,7.7,2,9.7,0.228,6.2,2.2,8.4,5.3
9,Chris Paul,2017,31,LAC,NBA,26.2,61,61,1921,0.385,0.331,2.4,15,8.9,46.8,3.1,0.3,14,24.4,126,106,7.9,2.6,10.6,0.264,7.8,1.1,8.8,5.3
10,Giannis Antetokounmpo,2017,22,MIL,NBA,26.1,80,80,2845,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,116,104,7.9,4.5,12.4,0.21,4.1,3.5,7.6,6.9
11,Karl-Anthony Towns,2017,21,MIN,NBA,25.9,82,82,3030,0.186,0.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,121,110,9.9,2.8,12.7,0.201,4.7,0.2,4.9,5.3
12,DeMarcus Cousins,2017,26,TOT,NBA,25.8,72,72,2465,0.253,0.468,7,29.2,18.2,25.8,2,3.4,13.5,36.5,107,105,3.9,3.8,7.6,0.149,3.9,2.6,6.6,5.3
13,JaVale McGee,2017,29,GSW,NBA,25.2,77,10,739,0.009,0.348,15.9,20.1,18.1,3.8,1.2,7.1,9.8,23.8,120,101,2,1.5,3.5,0.225,0.2,0.5,0.8,0.5
14,Jimmy Butler,2017,27,CHI,NBA,25.1,76,75,2809,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,123,106,10.1,3.8,13.8,0.236,5.8,1.1,6.9,6.3
15,Stephen Curry,2017,28,GSW,NBA,24.6,79,79,2638,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13,30.1,119,105,8.7,3.9,12.6,0.229,7.8,-0.4,7.3,6.2
16,Damian Lillard,2017,26,POR,NBA,24.1,75,75,2694,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,118,113,8.8,1.5,10.4,0.185,6.4,-2,4.3,4.3
17,DeMar DeRozan,2017,27,TOR,NBA,24,74,74,2620,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,113,110,6.7,2.4,9,0.166,2.4,-1.5,0.9,1.9
18,Enes Kanter,2017,24,OKC,NBA,23.7,72,0,1533,0.052,0.387,14.1,20.8,17.4,7.9,1,2,12.5,27.3,116,107,4,1.8,5.8,0.183,0.6,-1.9,-1.2,0.3
19,Rudy Gobert,2017,24,UTA,NBA,23.3,81,81,2744,0.002,0.762,13.6,29.5,21.8,5.7,0.9,6.4,15,16.7,129,99,8.3,6,14.3,0.25,1.4,4.5,5.8,5.4
20,Mike Conley,2017,29,MEM,NBA,23.2,69,68,2292,0.415,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,121,108,7.5,2.5,10,0.209,6.5,-0.8,5.7,4.5
